"Magnetizzazione:0","Magnetizzazione:1","Magnetizzazione:2","Heff:0","Heff:1","Heff:2","Hms:0","Hms:1","Hms:2","Hext:0","Hext:1","Hext:2","Hex:0","Hex:1","Hex:2","Cell Type"
-8.59521e+005,-2.86908e+004,8.05732e+002,1.56191e+003,5.21367e+001,-1.46396e+000,-1.55952e+004,3.43292e+002,-4.28874e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.15714e+003,-2.91156e+002,4.14234e+001,9
-8.55651e+005,-8.63709e+004,8.01986e+002,2.06234e+003,2.08176e+002,-1.93278e+000,-1.51874e+004,7.57645e+002,-4.41734e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.24972e+003,-5.49469e+002,4.22406e+001,9
-8.47785e+005,-1.44429e+005,7.96615e+002,2.03136e+003,3.46064e+002,-1.90853e+000,-1.53418e+004,1.19931e+003,-4.15667e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.37318e+003,-8.53251e+002,3.96582e+001,9
-8.36081e+005,-2.01417e+005,7.89575e+002,1.95123e+003,4.70063e+002,-1.84246e+000,-1.55996e+004,1.68553e+003,-3.82601e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.55081e+003,-1.21546e+003,3.64176e+001,9
-8.20658e+005,-2.57139e+005,7.81150e+002,1.97947e+003,6.20231e+002,-1.88393e+000,-1.58146e+004,2.20309e+003,-3.45547e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.79407e+003,-1.58286e+003,3.26708e+001,9
-8.01634e+005,-3.11419e+005,7.71718e+002,2.08085e+003,8.08368e+002,-2.00295e+000,-1.59983e+004,2.67476e+003,-3.04700e+001,1.40000e+004,0.00000e+000,0.00000e+000,4.07915e+003,-1.86639e+003,2.84671e+001,9
-7.79150e+005,-3.64039e+005,7.61626e+002,2.20623e+003,1.03080e+003,-2.15636e+000,-1.61910e+004,3.11120e+003,-2.60537e+001,1.40000e+004,0.00000e+000,0.00000e+000,4.39725e+003,-2.08040e+003,2.38974e+001,9
-7.53362e+005,-4.14783e+005,7.51139e+002,2.34629e+003,1.29181e+003,-2.33912e+000,-1.63922e+004,3.51899e+003,-2.13964e+001,1.40000e+004,0.00000e+000,0.00000e+000,4.73846e+003,-2.22717e+003,1.90573e+001,9
-7.24443e+005,-4.63446e+005,7.40376e+002,2.48187e+003,1.58772e+003,-2.53620e+000,-1.66129e+004,3.89652e+003,-1.65963e+001,1.40000e+004,0.00000e+000,0.00000e+000,5.09478e+003,-2.30880e+003,1.40601e+001,9
-6.92577e+005,-5.09839e+005,7.29317e+002,2.59022e+003,1.90679e+003,-2.72738e+000,-1.68712e+004,4.23585e+003,-1.17349e+001,1.40000e+004,0.00000e+000,0.00000e+000,5.46139e+003,-2.32906e+003,9.00749e+000,9
-6.57948e+005,-5.53808e+005,7.17881e+002,2.64634e+003,2.22748e+003,-2.88715e+000,-1.71906e+004,4.51994e+003,-6.88167e+000,1.40000e+004,0.00000e+000,0.00000e+000,5.83695e+003,-2.29246e+003,3.99452e+000,9
-6.20729e+005,-5.95227e+005,7.06087e+002,2.63435e+003,2.52612e+003,-2.99636e+000,-1.75791e+004,4.72113e+003,-2.10818e+000,1.40000e+004,0.00000e+000,0.00000e+000,6.21348e+003,-2.19501e+003,-8.88179e-001,9
-5.81084e+005,-6.33988e+005,6.94161e+002,2.55875e+003,2.79171e+003,-3.05644e+000,-1.80191e+004,4.82534e+003,2.50580e+000,1.40000e+004,0.00000e+000,0.00000e+000,6.57781e+003,-2.03363e+003,-5.56224e+000,9
-5.39193e+005,-6.69978e+005,6.82499e+002,2.43896e+003,3.03054e+003,-3.08695e+000,-1.84756e+004,4.84022e+003,6.87992e+000,1.40000e+004,0.00000e+000,0.00000e+000,6.91451e+003,-1.80968e+003,-9.96686e+000,9
-4.95267e+005,-7.03072e+005,6.71466e+002,2.29587e+003,3.25918e+003,-3.11244e+000,-1.89207e+004,4.79290e+003,1.09492e+001,1.40000e+004,0.00000e+000,0.00000e+000,7.21654e+003,-1.53371e+003,-1.40617e+001,9
-4.49540e+005,-7.33153e+005,6.61212e+002,2.13517e+003,3.48224e+003,-3.14032e+000,-1.93527e+004,4.70121e+003,1.46742e+001,1.40000e+004,0.00000e+000,0.00000e+000,7.48792e+003,-1.21897e+003,-1.78145e+001,9
-4.02252e+005,-7.60127e+005,6.51657e+002,1.94994e+003,3.68476e+003,-3.15873e+000,-1.97855e+004,4.55782e+003,1.80368e+001,1.40000e+004,0.00000e+000,0.00000e+000,7.73542e+003,-8.73058e+002,-2.11956e+001,9
-3.53611e+005,-7.83938e+005,6.42655e+002,1.72712e+003,3.82894e+003,-3.13867e+000,-2.02407e+004,4.32731e+003,2.10284e+001,1.40000e+004,0.00000e+000,0.00000e+000,7.96779e+003,-4.98376e+002,-2.41670e+001,9
-3.03790e+005,-8.04557e+005,6.34212e+002,1.46906e+003,3.89065e+003,-3.06671e+000,-2.06608e+004,3.96781e+003,2.36381e+001,1.40000e+004,0.00000e+000,0.00000e+000,8.12990e+003,-7.71595e+001,-2.67049e+001,9
-2.53010e+005,-8.21940e+005,6.26482e+002,1.20768e+003,3.92332e+003,-2.99016e+000,-2.10040e+004,3.55132e+003,2.58463e+001,1.40000e+004,0.00000e+000,0.00000e+000,8.21171e+003,3.72003e+002,-2.88364e+001,9
-2.01553e+005,-8.36048e+005,6.19557e+002,9.42941e+002,3.91134e+003,-2.89834e+000,-2.12767e+004,3.07997e+003,2.76246e+001,1.40000e+004,0.00000e+000,0.00000e+000,8.21961e+003,8.31375e+002,-3.05230e+001,9
-1.49726e+005,-8.46866e+005,6.13383e+002,6.71570e+002,3.79848e+003,-2.75107e+000,-2.14824e+004,2.51062e+003,2.89477e+001,1.40000e+004,0.00000e+000,0.00000e+000,8.15397e+003,1.28787e+003,-3.16988e+001,9
-9.78627e+004,-8.54414e+005,6.07893e+002,3.91941e+002,3.42193e+003,-2.43446e+000,-2.17458e+004,1.70116e+003,2.98039e+001,1.40000e+004,0.00000e+000,0.00000e+000,8.13777e+003,1.72077e+003,-3.22383e+001,9
-4.62863e+004,-8.58753e+005,6.03310e+002,1.42129e+002,2.63693e+003,-1.85241e+000,-2.30548e+004,4.82982e+002,3.02149e+001,1.40000e+004,0.00000e+000,0.00000e+000,9.19697e+003,2.15395e+003,-3.20673e+001,9
5.35280e+003,-8.59983e+005,6.00850e+002,-5.10148e+001,8.19606e+003,-5.72626e+000,-2.53444e+004,5.40958e+003,3.06766e+001,1.40000e+004,0.00000e+000,0.00000e+000,1.12934e+004,2.78648e+003,-3.64029e+001,9
6.02576e+004,-8.57886e+005,5.95339e+002,-3.22759e+002,4.59512e+003,-3.18871e+000,-1.88587e+004,1.59846e+003,3.06324e+001,1.40000e+004,0.00000e+000,0.00000e+000,4.53593e+003,2.99665e+003,-3.38211e+001,9
1.10226e+005,-8.52907e+005,5.90362e+002,-9.35736e+002,7.24053e+003,-5.01161e+000,-2.54129e+004,3.23782e+003,3.05871e+001,1.40000e+004,0.00000e+000,0.00000e+000,1.04772e+004,4.00270e+003,-3.55987e+001,9
1.63647e+005,-8.44286e+005,5.83508e+002,-1.03725e+003,5.35139e+003,-3.69838e+000,-1.81126e+004,2.18059e+003,3.05796e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.07533e+003,3.17080e+003,-3.42780e+001,9
2.11773e+005,-8.33518e+005,5.75771e+002,-6.40954e+002,2.52273e+003,-1.74254e+000,-2.13286e+004,-1.64078e+003,3.02460e+001,1.40000e+004,0.00000e+000,0.00000e+000,6.68764e+003,4.16350e+003,-3.19886e+001,9
2.59410e+005,-8.19943e+005,5.69674e+002,-1.12116e+003,3.54376e+003,-2.46204e+000,-2.18278e+004,-1.07153e+003,3.01233e+001,1.40000e+004,0.00000e+000,0.00000e+000,6.70668e+003,4.61529e+003,-3.25853e+001,9
3.06308e+005,-8.03601e+005,5.63910e+002,-1.41570e+003,3.71410e+003,-2.60622e+000,-2.15432e+004,-1.16435e+003,2.98662e+001,1.40000e+004,0.00000e+000,0.00000e+000,6.12753e+003,4.87845e+003,-3.24724e+001,9
3.52173e+005,-7.84585e+005,5.58158e+002,-1.61158e+003,3.59033e+003,-2.55413e+000,-2.11668e+004,-1.49727e+003,2.95212e+001,1.40000e+004,0.00000e+000,0.00000e+000,5.55520e+003,5.08761e+003,-3.20753e+001,9
3.96799e+005,-7.62988e+005,5.52346e+002,-1.71141e+003,3.29080e+003,-2.38225e+000,-2.07135e+004,-1.96798e+003,2.91264e+001,1.40000e+004,0.00000e+000,0.00000e+000,5.00206e+003,5.25878e+003,-3.15086e+001,9
4.40045e+005,-7.38891e+005,5.46544e+002,-1.75519e+003,2.94719e+003,-2.17994e+000,-2.02014e+004,-2.43195e+003,2.87076e+001,1.40000e+004,0.00000e+000,0.00000e+000,4.44624e+003,5.37913e+003,-3.08876e+001,9
4.81745e+005,-7.12405e+005,5.40848e+002,-1.76612e+003,2.61173e+003,-1.98277e+000,-1.96689e+004,-2.84193e+003,2.82800e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.90275e+003,5.45366e+003,-3.02628e+001,9
5.21739e+005,-6.83658e+005,5.35325e+002,-1.75831e+003,2.30400e+003,-1.80409e+000,-1.91140e+004,-3.16515e+003,2.78519e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.35573e+003,5.46915e+003,-2.96560e+001,9
5.59870e+005,-6.52798e+005,5.30014e+002,-1.75219e+003,2.04302e+003,-1.65875e+000,-1.85724e+004,-3.38909e+003,2.74262e+001,1.40000e+004,0.00000e+000,0.00000e+000,2.82024e+003,5.43210e+003,-2.90850e+001,9
5.96015e+005,-6.19973e+005,5.24911e+002,-1.73161e+003,1.80121e+003,-1.52504e+000,-1.80415e+004,-3.55907e+003,2.70039e+001,1.40000e+004,0.00000e+000,0.00000e+000,2.30987e+003,5.36028e+003,-2.85289e+001,9
6.30103e+005,-5.85294e+005,5.20005e+002,-1.66780e+003,1.54920e+003,-1.37640e+000,-1.74830e+004,-3.70353e+003,2.65873e+001,1.40000e+004,0.00000e+000,0.00000e+000,1.81516e+003,5.25272e+003,-2.79637e+001,9
6.62093e+005,-5.48847e+005,5.15320e+002,-1.55366e+003,1.28792e+003,-1.20927e+000,-1.68815e+004,-3.81174e+003,2.61819e+001,1.40000e+004,0.00000e+000,0.00000e+000,1.32781e+003,5.09965e+003,-2.73912e+001,9
6.91925e+005,-5.10725e+005,5.10907e+002,-1.41503e+003,1.04447e+003,-1.04488e+000,-1.62576e+004,-3.83733e+003,2.57937e+001,1.40000e+004,0.00000e+000,0.00000e+000,8.42599e+002,4.88180e+003,-2.68385e+001,9
7.19513e+005,-4.71064e+005,5.06809e+002,-1.28834e+003,8.43471e+002,-9.07520e-001,-1.56733e+004,-3.77610e+003,2.54276e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.84975e+002,4.61957e+003,-2.63351e+001,9
7.44773e+005,-4.30015e+005,5.03037e+002,-1.17159e+003,6.76449e+002,-7.91373e-001,-1.51273e+004,-3.63490e+003,2.50867e+001,1.40000e+004,0.00000e+000,0.00000e+000,-4.43156e+001,4.31135e+003,-2.58781e+001,9
7.67636e+005,-3.87731e+005,4.99591e+002,-1.07825e+003,5.44619e+002,-7.01804e-001,-1.46371e+004,-3.41313e+003,2.47710e+001,1.40000e+004,0.00000e+000,0.00000e+000,-4.41159e+002,3.95775e+003,-2.54728e+001,9
7.88041e+005,-3.44371e+005,4.96471e+002,-9.96855e+002,4.35622e+002,-6.28095e-001,-1.41954e+004,-3.12703e+003,2.44779e+001,1.40000e+004,0.00000e+000,0.00000e+000,-8.01409e+002,3.56266e+003,-2.51060e+001,9
8.05943e+005,-3.00093e+005,4.93675e+002,-9.12826e+002,3.39891e+002,-5.59224e-001,-1.37851e+004,-2.77034e+003,2.42023e+001,1.40000e+004,0.00000e+000,0.00000e+000,-1.12769e+003,3.11023e+003,-2.47615e+001,9
8.21302e+005,-2.55076e+005,4.91220e+002,-8.13068e+002,2.52518e+002,-4.86382e-001,-1.33992e+004,-2.33606e+003,2.39358e+001,1.40000e+004,0.00000e+000,0.00000e+000,-1.41383e+003,2.58858e+003,-2.44221e+001,9
8.34084e+005,-2.09533e+005,4.89123e+002,-6.17269e+002,1.55067e+002,-3.62072e-001,-1.29747e+004,-1.87967e+003,2.36651e+001,1.40000e+004,0.00000e+000,0.00000e+000,-1.64254e+003,2.03473e+003,-2.40272e+001,9
8.44281e+005,-1.63677e+005,4.87461e+002,-8.53095e+001,1.65385e+001,-4.93556e-002,-1.22805e+004,-1.49747e+003,2.33710e+001,1.40000e+004,0.00000e+000,0.00000e+000,-1.80479e+003,1.51401e+003,-2.34203e+001,9
8.51905e+005,-1.17719e+005,4.86580e+002,1.12378e+003,-1.55288e+002,6.41761e-001,-1.10505e+004,-2.12880e+003,2.30407e+001,1.40000e+004,0.00000e+000,0.00000e+000,-1.82573e+003,1.97351e+003,-2.23989e+001,9
8.57029e+005,-7.14237e+004,4.87705e+002,-3.68383e+003,3.07006e+002,-2.09646e+000,-1.58572e+004,-4.10345e+003,2.29487e+001,1.40000e+004,0.00000e+000,0.00000e+000,-1.82659e+003,4.41045e+003,-2.50451e+001,9
8.59749e+005,-2.07759e+004,4.87352e+002,-1.43740e+003,3.47347e+001,-8.14914e-001,-1.31505e+004,3.14329e+003,2.27695e+001,1.40000e+004,0.00000e+000,0.00000e+000,-2.28685e+003,-3.10855e+003,-2.35845e+001,9
8.59623e+005,2.54651e+004,4.87471e+002,-2.62519e+003,-7.77675e+001,-1.48881e+000,-1.43311e+004,-3.09926e+003,2.27766e+001,1.40000e+004,0.00000e+000,0.00000e+000,-2.29409e+003,3.02149e+003,-2.42654e+001,9
8.56616e+005,7.62161e+004,4.87251e+002,-2.47035e+003,-2.19795e+002,-1.40529e+000,-1.46929e+004,4.53986e+003,2.29676e+001,1.40000e+004,0.00000e+000,0.00000e+000,-1.77746e+003,-4.75966e+003,-2.43729e+001,9
8.51230e+005,1.22505e+005,4.86390e+002,1.20080e+003,1.72814e+002,6.85995e-001,-1.09486e+004,1.89688e+003,2.30537e+001,1.40000e+004,0.00000e+000,0.00000e+000,-1.85062e+003,-1.72407e+003,-2.23677e+001,9
8.43298e+005,1.68667e+005,4.87546e+002,3.32915e+001,6.65853e+000,1.91040e-002,-1.21646e+004,1.57376e+003,2.33589e+001,1.40000e+004,0.00000e+000,0.00000e+000,-1.80206e+003,-1.56710e+003,-2.33398e+001,9
8.32784e+005,2.14642e+005,4.89578e+002,-5.25384e+002,-1.35413e+002,-3.09012e-001,-1.29004e+004,1.95401e+003,2.36241e+001,1.40000e+004,0.00000e+000,0.00000e+000,-1.62501e+003,-2.08942e+003,-2.39331e+001,9
8.19696e+005,2.60189e+005,4.92108e+002,-8.39793e+002,-2.66568e+002,-5.04327e-001,-1.34638e+004,2.37693e+003,2.38716e+001,1.40000e+004,0.00000e+000,0.00000e+000,-1.37601e+003,-2.64349e+003,-2.43760e+001,9
8.04068e+005,3.05080e+005,4.95000e+002,-1.04900e+003,-3.98012e+002,-6.45941e-001,-1.39739e+004,2.75224e+003,2.41250e+001,1.40000e+004,0.00000e+000,0.00000e+000,-1.07510e+003,-3.15025e+003,-2.47709e+001,9
7.85943e+005,3.49132e+005,4.98206e+002,-1.21314e+003,-5.38902e+002,-7.69168e-001,-1.44774e+004,3.05679e+003,2.44011e+001,1.40000e+004,0.00000e+000,0.00000e+000,-7.35752e+002,-3.59569e+003,-2.51702e+001,9
7.65363e+005,3.92199e+005,5.01691e+002,-1.33747e+003,-6.85366e+002,-8.76870e-001,-1.49741e+004,3.30541e+003,2.47099e+001,1.40000e+004,0.00000e+000,0.00000e+000,-3.63327e+002,-3.99078e+003,-2.55867e+001,9
7.42361e+005,4.34166e+005,5.05427e+002,-1.42841e+003,-8.35396e+002,-9.72683e-001,-1.54676e+004,3.50591e+003,2.50573e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.91571e+001,-4.34131e+003,-2.60300e+001,9
7.16972e+005,4.74923e+005,5.09391e+002,-1.49240e+003,-9.88569e+002,-1.06049e+000,-1.59652e+004,3.66482e+003,2.54465e+001,1.40000e+004,0.00000e+000,0.00000e+000,4.72825e+002,-4.65339e+003,-2.65070e+001,9
6.89239e+005,5.14343e+005,5.13571e+002,-1.55455e+003,-1.16008e+003,-1.15851e+000,-1.64967e+004,3.76968e+003,2.58786e+001,1.40000e+004,0.00000e+000,0.00000e+000,9.42150e+002,-4.92976e+003,-2.70372e+001,9
6.59237e+005,5.52273e+005,5.17965e+002,-1.62596e+003,-1.36214e+003,-1.27770e+000,-1.70598e+004,3.78868e+003,2.63538e+001,1.40000e+004,0.00000e+000,0.00000e+000,1.43379e+003,-5.15082e+003,-2.76315e+001,9
6.27052e+005,5.88562e+005,5.22566e+002,-1.68969e+003,-1.58597e+003,-1.40831e+000,-1.76286e+004,3.72891e+003,2.68716e+001,1.40000e+004,0.00000e+000,0.00000e+000,1.93887e+003,-5.31488e+003,-2.82799e+001,9
5.92767e+005,6.23079e+005,5.27354e+002,-1.73726e+003,-1.82610e+003,-1.54574e+000,-1.81964e+004,3.60418e+003,2.74301e+001,1.40000e+004,0.00000e+000,0.00000e+000,2.45912e+003,-5.43029e+003,-2.89758e+001,9
5.56463e+005,6.55704e+005,5.32281e+002,-1.75597e+003,-2.06914e+003,-1.67985e+000,-1.87291e+004,3.41523e+003,2.80247e+001,1.40000e+004,0.00000e+000,0.00000e+000,2.97316e+003,-5.48437e+003,-2.97046e+001,9
5.18207e+005,6.86339e+005,5.37284e+002,-1.73119e+003,-2.29288e+003,-1.79511e+000,-1.92244e+004,3.20295e+003,2.86462e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.49325e+003,-5.49583e+003,-3.04413e+001,9
4.78068e+005,7.14878e+005,5.42332e+002,-1.68169e+003,-2.51471e+003,-1.90794e+000,-1.96999e+004,2.94690e+003,2.92791e+001,1.40000e+004,0.00000e+000,0.00000e+000,4.01823e+003,-5.46161e+003,-3.11870e+001,9
4.36151e+005,7.41196e+005,5.47427e+002,-1.61257e+003,-2.74041e+003,-2.02417e+000,-2.01464e+004,2.63244e+003,2.99018e+001,1.40000e+004,0.00000e+000,0.00000e+000,4.53388e+003,-5.37284e+003,-3.19259e+001,9
3.92574e+005,7.65170e+005,5.52595e+002,-1.52231e+003,-2.96714e+003,-2.14301e+000,-2.05544e+004,2.26283e+003,3.04869e+001,1.40000e+004,0.00000e+000,0.00000e+000,5.03205e+003,-5.22997e+003,-3.26299e+001,9
3.47461e+005,7.86683e+005,5.57881e+002,-1.40874e+003,-3.18952e+003,-2.26205e+000,-2.09166e+004,1.84686e+003,3.10039e+001,1.40000e+004,0.00000e+000,0.00000e+000,5.50786e+003,-5.03638e+003,-3.32660e+001,9
3.00939e+005,8.05627e+005,5.63329e+002,-1.27095e+003,-3.40239e+003,-2.37927e+000,-2.12285e+004,1.39360e+003,3.14227e+001,1.40000e+004,0.00000e+000,0.00000e+000,5.95755e+003,-4.79599e+003,-3.38020e+001,9
2.53144e+005,8.21899e+005,5.68970e+002,-1.10946e+003,-3.60217e+003,-2.49382e+000,-2.14906e+004,9.10922e+002,3.17173e+001,1.40000e+004,0.00000e+000,0.00000e+000,6.38112e+003,-4.51309e+003,-3.42111e+001,9
2.04225e+005,8.35399e+005,5.74813e+002,-9.24543e+002,-3.78191e+003,-2.60239e+000,-2.16916e+004,4.06638e+002,3.18671e+001,1.40000e+004,0.00000e+000,0.00000e+000,6.76709e+003,-4.18855e+003,-3.44695e+001,9
1.54345e+005,8.46036e+005,5.80872e+002,-7.22102e+002,-3.95817e+003,-2.71777e+000,-2.18233e+004,-1.32887e+002,3.18568e+001,1.40000e+004,0.00000e+000,0.00000e+000,7.10115e+003,-3.82528e+003,-3.45746e+001,9
1.03635e+005,8.53733e+005,5.87175e+002,-4.98020e+002,-4.10263e+003,-2.82184e+000,-2.18994e+004,-6.68509e+002,3.16634e+001,1.40000e+004,0.00000e+000,0.00000e+000,7.40134e+003,-3.43412e+003,-3.44853e+001,9
5.22666e+004,8.58410e+005,5.93793e+002,-2.56007e+002,-4.20458e+003,-2.90861e+000,-2.19155e+004,-1.18581e+003,3.12574e+001,1.40000e+004,0.00000e+000,0.00000e+000,7.65953e+003,-3.01877e+003,-3.41661e+001,9
4.18945e+002,8.60000e+005,6.00818e+002,-2.08274e+000,-4.27549e+003,-2.98711e+000,-2.18683e+004,-1.69396e+003,3.06019e+001,1.40000e+004,0.00000e+000,0.00000e+000,7.86624e+003,-2.58153e+003,-3.35891e+001,9
-5.17206e+004,8.58443e+005,6.08301e+002,2.60392e+002,-4.32192e+003,-3.06269e+000,-2.17578e+004,-2.19206e+003,2.96546e+001,1.40000e+004,0.00000e+000,0.00000e+000,8.01821e+003,-2.12986e+003,-3.27173e+001,9
-1.03964e+005,8.53693e+005,6.16241e+002,5.24373e+002,-4.30586e+003,-3.10833e+000,-2.16084e+004,-2.63781e+003,2.83707e+001,1.40000e+004,0.00000e+000,0.00000e+000,8.13274e+003,-1.66805e+003,-3.14791e+001,9
-1.56111e+005,8.45712e+005,6.24663e+002,7.87330e+002,-4.26526e+003,-3.15054e+000,-2.13734e+004,-3.05786e+003,2.67210e+001,1.40000e+004,0.00000e+000,0.00000e+000,8.16070e+003,-1.20740e+003,-2.98716e+001,9
-2.07964e+005,8.34476e+005,6.33603e+002,1.05360e+003,-4.22767e+003,-3.21010e+000,-2.10996e+004,-3.47974e+003,2.46923e+001,1.40000e+004,0.00000e+000,0.00000e+000,8.15317e+003,-7.47923e+002,-2.79024e+001,9
-2.59290e+005,8.19981e+005,6.43060e+002,1.31242e+003,-4.15040e+003,-3.25500e+000,-2.07832e+004,-3.85271e+003,2.22769e+001,1.40000e+004,0.00000e+000,0.00000e+000,8.09563e+003,-2.97689e+002,-2.55319e+001,9
-3.09871e+005,8.02234e+005,6.53024e+002,1.55577e+003,-4.02778e+003,-3.27873e+000,-2.04156e+004,-4.15570e+003,1.94799e+001,1.40000e+004,0.00000e+000,0.00000e+000,7.97132e+003,1.27914e+002,-2.27586e+001,9
-3.59512e+005,7.81249e+005,6.63455e+002,1.77214e+003,-3.85101e+003,-3.27044e+000,-2.00371e+004,-4.38067e+003,1.63179e+001,1.40000e+004,0.00000e+000,0.00000e+000,7.80923e+003,5.29659e+002,-1.95884e+001,9
-4.08008e+005,7.57053e+005,6.74262e+002,1.96304e+003,-3.64240e+003,-3.24413e+000,-1.96406e+004,-4.54412e+003,1.28209e+001,1.40000e+004,0.00000e+000,0.00000e+000,7.60363e+003,9.01718e+002,-1.60650e+001,9
-4.55136e+005,7.29692e+005,6.85279e+002,2.12206e+003,-3.40218e+003,-3.19515e+000,-1.92284e+004,-4.63519e+003,9.02398e+000,1.40000e+004,0.00000e+000,0.00000e+000,7.35045e+003,1.23301e+003,-1.22191e+001,9
-5.00683e+005,6.99226e+005,6.96333e+002,2.24341e+003,-3.13302e+003,-3.12009e+000,-1.88153e+004,-4.65115e+003,4.95833e+000,1.40000e+004,0.00000e+000,0.00000e+000,7.05874e+003,1.51813e+003,-8.07841e+000,9
-5.44436e+005,6.65724e+005,7.07358e+002,2.32690e+003,-2.84529e+003,-3.02324e+000,-1.84106e+004,-4.60035e+003,6.55663e-001,1.40000e+004,0.00000e+000,0.00000e+000,6.73748e+003,1.75506e+003,-3.67890e+000,9
-5.86178e+005,6.29282e+005,7.18396e+002,2.37657e+003,-2.55133e+003,-2.91263e+000,-1.80135e+004,-4.48950e+003,-3.83670e+000,1.40000e+004,0.00000e+000,0.00000e+000,6.39005e+003,1.93817e+003,9.24069e-001,9
-6.25685e+005,5.90016e+005,7.29496e+002,2.40371e+003,-2.26668e+003,-2.80251e+000,-1.76256e+004,-4.33843e+003,-8.45107e+000,1.40000e+004,0.00000e+000,0.00000e+000,6.02931e+003,2.07175e+003,5.64856e+000,9
-6.62731e+005,5.48075e+005,7.40619e+002,2.41686e+003,-1.99873e+003,-2.70087e+000,-1.72316e+004,-4.13691e+003,-1.31048e+001,1.40000e+004,0.00000e+000,0.00000e+000,5.64850e+003,2.13817e+003,1.04039e+001,9
-6.97111e+005,5.03623e+005,7.51637e+002,2.41136e+003,-1.74207e+003,-2.59992e+000,-1.68618e+004,-3.89611e+003,-1.77022e+001,1.40000e+004,0.00000e+000,0.00000e+000,5.27318e+003,2.15404e+003,1.51022e+001,9
-7.28621e+005,4.56848e+005,7.62336e+002,2.41159e+003,-1.51207e+003,-2.52311e+000,-1.64951e+004,-3.63265e+003,-2.21327e+001,1.40000e+004,0.00000e+000,0.00000e+000,4.90664e+003,2.12058e+003,1.96096e+001,9
-7.57071e+005,4.07974e+005,7.72361e+002,2.41753e+003,-1.30277e+003,-2.46627e+000,-1.61328e+004,-3.33029e+003,-2.62872e+001,1.40000e+004,0.00000e+000,0.00000e+000,4.55034e+003,2.02752e+003,2.38209e+001,9
-7.82298e+005,3.57224e+005,7.81250e+002,2.41267e+003,-1.10171e+003,-2.40933e+000,-1.58024e+004,-2.97525e+003,-3.00844e+001,1.40000e+004,0.00000e+000,0.00000e+000,4.21508e+003,1.87355e+003,2.76751e+001,9
-8.04173e+005,3.04803e+005,7.88719e+002,2.34392e+003,-8.88410e+002,-2.29875e+000,-1.55657e+004,-2.54188e+003,-3.34713e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.90963e+003,1.65347e+003,3.11725e+001,9
-8.22585e+005,2.50905e+005,7.94880e+002,2.30369e+003,-7.02671e+002,-2.22596e+000,-1.53566e+004,-2.13057e+003,-3.64024e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.66030e+003,1.42790e+003,3.41764e+001,9
-8.37415e+005,1.95794e+005,7.99978e+002,2.24595e+003,-5.25122e+002,-2.14539e+000,-1.52069e+004,-1.70657e+003,-3.88336e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.45288e+003,1.18145e+003,3.66882e+001,9
-8.48563e+005,1.39788e+005,8.04035e+002,2.18501e+003,-3.59947e+002,-2.07018e+000,-1.50990e+004,-1.28489e+003,-4.07249e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.28398e+003,9.24943e+002,3.86547e+001,9
-8.55893e+005,8.39387e+004,8.06908e+002,1.67443e+003,-1.64214e+002,-1.57842e+000,-1.54779e+004,-7.01115e+002,-3.95288e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.15231e+003,5.36901e+002,3.79504e+001,9
-8.59544e+005,2.79918e+004,8.07852e+002,1.90101e+003,-6.19081e+001,-1.78649e+000,-1.52092e+004,-2.02468e+002,-3.91253e+001,1.40000e+004,0.00000e+000,0.00000e+000,3.11018e+003,1.40560e+002,3.73388e+001,9
-8.59378e+005,-3.26969e+004,8.58412e+002,2.26472e+003,8.61661e+001,-2.26193e+000,-1.53790e+004,3.20054e+002,-1.82847e+002,1.40000e+004,0.00000e+000,0.00000e+000,3.64372e+003,-2.33888e+002,1.80585e+002,9
-8.55218e+005,-9.05614e+004,8.59173e+002,2.10696e+003,2.23112e+002,-2.11645e+000,-1.55910e+004,2.22947e+002,-1.89712e+002,1.40000e+004,0.00000e+000,0.00000e+000,3.69795e+003,1.65466e-001,1.87595e+002,9
-8.46697e+005,-1.50675e+005,8.48988e+002,2.98902e+003,5.31916e+002,-2.99684e+000,-1.47053e+004,2.39654e+002,-1.83800e+002,1.40000e+004,0.00000e+000,0.00000e+000,3.69434e+003,2.92262e+002,1.80803e+002,9
-8.33871e+005,-2.10375e+005,8.35421e+002,2.99319e+003,7.55144e+002,-2.99848e+000,-1.46844e+004,3.14124e+002,-1.75494e+002,1.40000e+004,0.00000e+000,0.00000e+000,3.67759e+003,4.41020e+002,1.72496e+002,9
